Master System,Genesis,Game Gear,Sega CD,Sega 32X,Saturn,Dreamcast
,Exile,Taz-Mania,,,Sonic 3D Blast,Star Wars Demolition
,ExoSquad,Tempo Jr.,,,Sonic Jam,Star Wars: Episode I Jedi Power Battles
,Exodus: Journey to the Promised Land,Tengen World Cup Soccer,,,Sonic R,Star Wars: Episode I Racer
,F-117 Night Storm,Terminator 2: Judgment Day,,,Soviet Strike,StarLancer
,F-15 Strike Eagle II,Tesserae,,,Space Hulk: Vengeance of the Blood Angels,Street Fighter Alpha 3
,F-22 Interceptor: Advanced Tactical Fighter,The Addams Family,,,Space Jam,Street Fighter III: 3rd Strike
,F1,The Adventures of Batman & Robin,,,Spot Goes to Hollywood,Street Fighter III: Double Impact
,FIFA 97: Gold Edition,The Berenstain Bears' Camping Adventure,,,StarFighter 3000,Stupid Invaders
,FIFA International Soccer,The Chessmaster,,,Steep Slope Sliders,Super Magnetic Neo
,FIFA Soccer 95,The GG Shinobi,,,Street Fighter Alpha 2,Super Runabout: San Francisco Edition
,FIFA Soccer 96,The Incredible Crash Dummies,,,Street Fighter Alpha: Warriors' Dreams,Surf Rocket Racers
,Family Feud,The Incredible Hulk,,,Street Fighter Collection,Suzuki Alstare Extreme Racing
,Fantasia,The Itchy & Scratchy Game,,,Street Fighter: The Movie,Sword of the Berserk: Guts' Rage
,Fantastic Dizzy,The Jungle Book,,,Striker '96,Sydney 2000
,Fatal Fury,The Lion King,,,Super Puzzle Fighter II Turbo,Tech Romancer
,Fatal Fury 2,The Lost World: Jurassic Park,,,Tempest 2000,Tee Off
,Fatal Labyrinth,The Lucky Dime Caper Starring Donald Duck,,,Ten Pin Alley,Tennis 2K2
,Fatal Rewind,The Majors: Pro Baseball,,,Tetris Plus,Test Drive 6
,Ferrari Grand Prix Challenge,The Simpsons: Bart vs. the Space Mutants,,,The Crow: City of Angels,Test Drive Le Mans
,Fever Pitch Soccer,The Simpsons: Bart vs. the World,,,The Horde,Test Drive V-Rally
,,The Simpsons: Bartman Meets Radioactive Man,,,The House of the Dead,The Grinch
,Fighting Masters,The Terminator,,,The Incredible Hulk: The Pantheon Saga,The House of the Dead 2
,Final Zone,Tom and Jerry: The Movie,,,The Legend of Oasis,The King of Fighters: Dream Match 1999
,Fire Shark,True Lies,,,The Lost World: Jurassic Park,The King of Fighters: Evolution
,Flashback,Urban Strike,,,The Mansion of Hidden Souls,The Last Blade 2: Heart of the Samurai
,Flicky,Vampire: Master of Darkness,,,Theme Park,The Next Tetris: On-Line Edition
,Foreman for Real,Virtua Fighter Animation,,,Three Dirty Dwarves,The Ring: Terror's Realm
,Forgotten Worlds,VR Troopers,,,Thunderstrike 2,The Typing of the Dead
,Frank Thomas Big Hurt Baseball,Wheel of Fortune,,,Time Warner Interactive's VR Virtua Racing,Time Stalkers
,Frogger,Wimbledon,,,Titan Wars,TNN Motorsports Hardcore Heat
,Fun 'n' Games,Winter Olympics,,,TNN Motor Sports HardCore 4x4,Tokyo Xtreme Racer
,Funny World & Balloon Boy,Wonder Boy,,,Tomb Raider,Tokyo Xtreme Racer 2
,G-LOC: Air Battle,Woody Pop,,,True Pinball,Tom Clancy's Rainbow Six
,Gaiares,World Class Leaderboard Golf,,,Tunnel B1,Tom Clancy's Rainbow Six Rogue Spear
,Gain Ground,World Cup USA 94,,,Ultimate Mortal Kombat 3,Tomb Raider: Chronicles
,Galahad,World Series Baseball,,,Valora Valley Golf,Tomb Raider: The Last Revelation
,Galaxy Force II,World Series Baseball '95,,,Virtua Cop,Tony Hawk's Pro Skater
,Garfield: Caught in the Act,WWF Raw,,,Virtua Cop 2,Tony Hawk's Pro Skater 2
,Gargoyles,WWF WrestleMania: Steel Cage Challenge,,,Virtua Fighter,Toy Commander
,Garry Kitchen's Super Battletank: War in the Gulf,X-Men,,,Virtua Fighter 2,TrickStyle
,Gauntlet IV,X-Men: GamesMaster's Legacy,,,Virtua Fighter Kids,UEFA Striker
,Gemfire,X-Men: Mojo World,,,Virtua Fighter Remix,Ultimate Fighting Championship
,General Chaos,Zool: Ninja of the Nth Dimension,,,Virtual Casino,Unreal Tournament
,Generations Lost,Zoop,,,Virtual Hydlide,Urban Chaos
